date,month,n,n_tradable,ic_GBM_EVENT,gross_GBM_EVENT,pred_GBM_EVENT,ic_StockMixer_T1_EVENT,gross_StockMixer_T1_EVENT,pred_StockMixer_T1_EVENT,ic_GBM_SCALAR,gross_GBM_SCALAR,pred_GBM_SCALAR,ic_StockMixer_T1_SCALAR,gross_StockMixer_T1_SCALAR,pred_StockMixer_T1_SCALAR,ic_GBM_TFIDF,gross_GBM_TFIDF,pred_GBM_TFIDF,ic_StockMixer_T1_TFIDF,gross_StockMixer_T1_TFIDF,pred_StockMixer_T1_TFIDF,ic_GBM_SHUFFLE,gross_GBM_SHUFFLE,pred_GBM_SHUFFLE,ic_StockMixer_T1_SHUFFLE,gross_StockMixer_T1_SHUFFLE,pred_StockMixer_T1_SHUFFLE,ic_GBM_SCALAR_SHUFFLE,gross_GBM_SCALAR_SHUFFLE,pred_GBM_SCALAR_SHUFFLE,ic_StockMixer_T1_SCALAR_SHUFFLE,gross_StockMixer_T1_SCALAR_SHUFFLE,pred_StockMixer_T1_SCALAR_SHUFFLE,ic_GBM_NOTEXT,gross_GBM_NOTEXT,pred_GBM_NOTEXT,ic_StockMixer_T1_NOTEXT,gross_StockMixer_T1_NOTEXT,pred_StockMixer_T1_NOTEXT,turnover_GBM_EVENT,net_GBM_EVENT,turnover_GBM_SCALAR,net_GBM_SCALAR,turnover_GBM_TFIDF,net_GBM_TFIDF,turnover_GBM_SHUFFLE,net_GBM_SHUFFLE,turnover_GBM_SCALAR_SHUFFLE,net_GBM_SCALAR_SHUFFLE,turnover_GBM_NOTEXT,net_GBM_NOTEXT,turnover_StockMixer_T1_EVENT,net_StockMixer_T1_EVENT,turnover_StockMixer_T1_SCALAR,net_StockMixer_T1_SCALAR,turnover_StockMixer_T1_TFIDF,net_StockMixer_T1_TFIDF,turnover_StockMixer_T1_SHUFFLE,net_StockMixer_T1_SHUFFLE,turnover_StockMixer_T1_SCALAR_SHUFFLE,net_StockMixer_T1_SCALAR_SHUFFLE,turnover_StockMixer_T1_NOTEXT,net_StockMixer_T1_NOTEXT
2025-08-01,2025-08,372,364,0.06633588373920893,0.002050273903977301,0.01760527164811777,,0.007364347483616085,,0.11974935620176633,0.014798564937187196,0.017280391863171714,-0.025462526831361184,-0.0019475518547833193,0.11230733152478933,0.008769365807759794,0.005201157042356578,0.022014958684141425,0.05851299533884739,0.010624953652330618,0.7423088786502678,0.09961205140712225,0.00523077299519129,0.018166258525453043,-0.028411565354706667,-0.006564227925133775,0.40999564150762224,0.11923150867353836,0.01066466719949705,0.019831918927513063,-0.004801424471157108,-0.009340866596633895,0.1190564877146648,0.03271577228019182,0.005525966254536762,0.019337326694560765,-0.017140485111125994,-0.00029427107171167374,0.11881978318302168,1.0,-0.000449726096022699,1.0,0.012298564937187196,1.0,0.002701157042356578,1.0,0.0027307729951912903,1.0,0.00816466719949705,1.0,0.0030259662545367616,1.0,0.0048643474836160844,1.0,-0.00444755185478332,1.0,0.008124953652330617,1.0,-0.009064227925133774,1.0,-0.011840866596633895,1.0,-0.002794271071711674
2025-08-04,2025-08,396,387,-0.03512536733855268,-0.005948834638457876,0.020828332506310124,,0.0075716683312841305,,0.013384239382752024,-0.004121436530724698,0.02071629115389809,-0.08084757316215724,-0.015353084654072098,0.1145473328920511,0.003395040837892438,-0.007780184959873751,0.020080846783711408,-0.03293265467173907,-0.006644746457657936,0.812534396465008,0.07876637431437118,0.009630966687970428,0.020967292732250627,0.039272893108412144,0.012289463014514567,0.41923497430980206,-0.007449430108935499,-0.0008463314680818386,0.021878001747845918,-0.11946431737472268,-0.017657449572699283,0.13251647926293886,-0.0053069701447910666,0.003110566502535873,0.022111000266338172,-0.12736187273456925,-0.021027018525078257,0.14114479295527324,1.7179487179487178,-0.01024370643332967,1.7692307692307692,-0.008544513453801621,1.8974358974358974,-0.012523774703463494,1.846153846153846,0.005015582072585813,1.846153846153846,-0.0054617160834664535,1.8717948717948718,-0.0015689206769513068,1.3076923076923077,0.004302437562053361,1.6923076923076923,-0.01958385388484133,1.8205128205128205,-0.011196028508939988,1.9743589743589742,0.007353565578617131,1.6153846153846154,-0.021695911111160822,1.435897435897436,-0.024616762114821847
2025-08-05,2025-08,473,454,-0.025560265481764335,-0.00814819908801529,0.02037379125269486,,0.004619417996793024,,-0.03803762940177966,-0.0018267179472076394,0.022214638868103737,0.02704343581604442,-0.010230300490770304,0.11754958741366864,-0.019258256915831558,-0.009469057841603398,0.026480501539979568,0.013022037374763372,-0.008473081196257554,0.9908205336994594,0.00872960754186962,4.6625586275348156e-05,0.019548669203442937,0.045594432999898245,0.004329254355907611,0.42318072997861433,-0.020651441704047254,-0.014081260319504428,0.021713826120710718,0.0030669801174438086,-0.006112989706390868,0.11410136976175839,0.00869434121104955,-0.014479012177483106,0.023215955934631192,0.023493046154272768,-0.00683380907524319,0.10233450987272792,1.8,-0.012648199088015288,1.8222222222222222,-0.006382273502763195,1.8444444444444443,-0.014080168952714509,1.8888888888888888,-0.004675596635946874,1.9111111111111112,-0.018859038097282205,1.8888888888888888,-0.01920123439970533,1.4222222222222223,0.001063862441237468,1.6666666666666667,-0.014396967157436972,1.8888888888888888,-0.013195303418479777,1.9777777777777779,-0.0006151900885368331,1.7555555555555555,-0.010501878595279755,1.4222222222222223,-0.010389364630798745
2025-08-06,2025-08,581,559,0.036404008748477365,-0.000567699918073537,0.022480645184701116,,0.005054630296830927,,0.06133947288834593,-0.004061411240333445,0.02288389388622555,-0.02181915445774497,-0.000874979546058972,0.11668869653450592,-0.0843646260263019,-0.02009714844605826,0.02497445657569778,0.002390512196245283,-0.012689338263626738,1.0160302578338554,0.059151022746478626,0.01918805923383881,0.022703217402837497,0.05204209329383086,0.00580040086392003,0.3781784627187465,0.017659985597664424,-0.012078205169440552,0.02264889432057897,-0.06220336215926674,0.0030787217869933537,0.12562463279547437,0.010591133166934151,-0.008281126195032563,0.02397306365540127,-0.03290871116748816,0.0011074447499970237,0.11878591360125158,1.7678571428571428,-0.004987342775216394,1.7857142857142858,-0.00852569695461916,1.8392857142857142,-0.024695362731772544,1.8035714285714286,0.014679130662410238,1.8392857142857142,-0.016676419455154835,1.875,-0.012968626195032563,1.2321428571428572,0.001974273153973784,1.6428571428571428,-0.004982122403201829,1.7857142857142856,-0.017153623977912452,1.9285714285714286,0.0009789722924914588,1.5892857142857142,-0.0008944924987209319,1.25,-0.0020175552500029765
2025-08-07,2025-08,589,550,0.04809111351369128,-0.013528407360321418,0.02263598537147661,,-0.004517939293914473,,-0.024509175774709756,-0.009525979568525722,0.024676034940550394,0.04947189891466932,0.016786097955836056,0.13616719821637327,-0.03778359350490475,-0.0005607957274197366,0.02602239471116847,0.008067973547089031,0.0007038512659636499,0.8039204776287079,0.027832116415384318,-0.0004045983485801846,0.023078362604734403,0.021088983491298736,0.004579534641286985,0.44480377611788835,0.05317033895368743,-0.0009263313724547587,0.024515247096596374,0.03326981047087765,-0.006144191755278214,0.11579077711159533,0.0019942459444714264,-0.008652282835363559,0.023771913039500395,-0.006366517715831405,-0.012255842850898747,0.10731004838916389,1.75,-0.017903407360321418,1.7678571428571428,-0.013945622425668578,1.8392857142857142,-0.005159010013134022,1.7857142857142856,-0.004868884062865899,1.8392857142857142,-0.005524545658169044,1.8035714285714284,-0.01316121140679213,1.2857142857142856,-0.007732225008200187,1.7142857142857142,0.012500383670121771,1.75,-0.0036711487340363507,1.8214285714285714,2.596321271555648e-05,1.6785714285714284,-0.010340620326706785,1.4464285714285714,-0.015871914279470177
2025-08-08,2025-08,366,353,0.07236721898900475,0.016711225342662735,0.021056989823840837,,-0.005654403482234494,,0.02999502524398027,-0.006261417876414873,0.022144012396890504,-0.22903372860105334,-0.03184369783956634,0.14196581984204906,-0.053770854545293116,0.00833107129030248,0.023109219488392826,0.006336205779236046,-0.0003574819370382523,1.0413583308458327,0.07733414267453409,0.0025037729676286053,0.019987634165947087,-0.0900068594114368,-0.008236803831441548,0.35568551123142245,0.04118057752450511,-0.009029562664532441,0.021282899712729883,-0.20799363133325297,-0.01029890781398627,0.1353978530104671,0.0687494148695641,0.022964300542451396,0.020760333701204746,-0.2474348187640699,-0.02845822532917905,0.1447171031364373,1.709090909090909,0.012438498069935463,1.7636363636363637,-0.010670508785505782,1.8727272727272726,0.0036492531084842995,1.8181818181818181,-0.00204168157782594,1.7636363636363637,-0.01343865357362335,1.8363636363636362,0.018373391451542306,1.2727272727272727,-0.008836221664052676,1.8181818181818181,-0.036389152385020884,1.8181818181818181,-0.0049029364824927976,1.909090909090909,-0.01300953110416882,1.690909090909091,-0.014526180541258997,1.5636363636363635,-0.03236731623826996
2025-08-11,2025-08,398,376,-0.054672524317032484,-0.01195477207166968,0.022937646266117995,,0.004848740561248534,,-0.057424394820468704,-0.013261318220531903,0.022465694400476292,-0.10096647614535616,-0.00523968888619533,0.16941236346764,-0.04229580758880892,-0.015941557737838362,0.02327478400857347,-0.03512139163691773,-0.006188736201891333,0.8277457391745165,0.016580697876834135,-0.002410710226404842,0.02128116737094898,-0.0845217776788423,-0.0050627586264000695,0.36239322961161013,-0.045064817899502,-0.01543187661811762,0.023580511426100806,-0.0961298841002367,-0.006752802427438254,0.18152083103594027,0.0011844988257082702,0.0006591390519843159,0.022366312770114638,-0.17193447074459028,-0.013542576593737053,0.19235899002830448,1.7368421052631577,-0.016296877334827573,1.763157894736842,-0.017669212957374007,1.894736842105263,-0.02067839984310152,1.8684210526315788,-0.007081762857983788,1.7894736842105263,-0.019905560828643934,1.7894736842105263,-0.0038145451585419998,1.3157894736842104,0.0015592668770380074,1.763157894736842,-0.009647583623037435,1.8684210526315788,-0.01085978883347028,1.894736842105263,-0.009799600731663227,1.526315789473684,-0.010568591901122464,1.263157894736842,-0.01670047133057916
2025-08-12,2025-08,266,252,0.02568250587500784,0.032059993924727664,0.02144539284633059,,0.009099497971815586,,0.018119395072278405,0.02580173347824702,0.024976983660836335,-0.10196618883963093,6.428373915723807e-05,0.12951927535235883,0.049514177604502614,0.026239691939027872,0.03128689181011758,-0.005998018217764678,0.008198544694575505,1.3137305319309234,0.10796209964631341,0.018253256764364508,0.02260608649082749,0.018030769848742797,-0.001479792061220099,0.4126026622951031,-0.005642685095612502,0.0288150044661979,0.02599846235228346,0.015461913549282596,0.020888092783451457,0.13476806968450547,0.06785281008108816,0.03154037914043856,0.022849883963686913,0.11813582899412595,0.027752322321000614,0.14104560680687428,1.763157894736842,0.02765209918788556,1.8157894736842104,0.02126225979403649,1.894736842105263,0.021502849833764714,1.868421052631579,0.01358220413278556,1.8421052631578947,0.024209741308303164,1.7894736842105263,0.02706669492991224,1.2894736842105263,0.00587581376128927,1.736842105263158,-0.004277821524000657,1.8421052631578947,0.003593281536680768,1.9210526315789473,-0.006282423640167467,1.5526315789473684,0.017006513836083037,1.368421052631579,0.024331269689421668
2025-08-13,2025-08,336,316,0.05839655514262284,0.005763788924133425,0.01984080593814752,,0.019041524432096994,,0.05722210723792885,0.010779151304007847,0.02096045333938225,0.07760609396896112,0.012529837119685715,0.1295659417519346,-0.05329164343329892,-0.011191201804873409,0.025054356271528584,-0.01297819702519071,-0.01618906208842624,1.0584918651729822,0.061473845915124066,0.011740754708689419,0.01964937687848831,0.15816467879166204,0.02416603247155964,0.3775908383540809,-0.015456999824188756,-0.011575972225829814,0.02059152486976838,0.08695533198953322,0.008175833029817593,0.1418946374906227,-0.017138397969225404,-0.009424437017817006,0.020674475460458572,0.20625788550817556,0.023958663048246343,0.14149875158909708,1.6875,0.0015450389241334246,1.6875,0.006560401304007847,1.875,-0.01587870180487341,1.75,0.007365754708689418,1.8125,-0.016107222225829814,1.84375,-0.014033812017817004,1.25,0.015916524432096995,1.65625,0.008389212119685715,1.71875,-0.02048593708842624,1.90625,0.01940040747155964,1.46875,0.0045039580298175935,1.25,0.020833663048246343
2025-08-14,2025-08,327,311,-0.009564185714330403,0.00047051074658863417,0.018759860840213322,,-2.8352096166218803e-06,,-0.010755762174792408,-0.012505556480659057,0.020997909776160326,-0.11051459835602911,-0.014812072922525442,0.10731928302876412,0.03652217959075931,0.006398974489896233,0.024206400039653866,-0.14579147753521177,0.0032337196967753773,0.9484076471098007,0.01765331508445986,-0.002355326586440062,0.020488221850125405,-0.04834567523295571,-0.002179126037863535,0.4177529076414723,0.03686954468532063,0.021458418361797137,0.020725335130173814,-0.19243891197264354,-0.03112852169705395,0.10728277957006808,-0.017106603880106177,-0.0015066517190588389,0.018252053898711148,-0.06075461246824508,0.014812050608613255,0.07960396079767135,1.6875,-0.003748239253411366,1.71875,-0.016802431480659057,1.78125,0.0019458494898962333,1.8125,-0.006886576586440062,1.78125,0.01700529336179714,1.625,-0.005569151719058839,1.4375,-0.003596585209616622,1.75,-0.019187072922525444,1.875,-0.0014537803032246225,1.9375,-0.007022876037863535,1.6875,-0.03534727169705395,1.25,0.011687050608613254
