date,month,n,n_tradable,ic_GBM_EVENT,gross_GBM_EVENT,pred_GBM_EVENT,ic_StockMixer_T1_EVENT,gross_StockMixer_T1_EVENT,pred_StockMixer_T1_EVENT,ic_GBM_TFIDF,gross_GBM_TFIDF,pred_GBM_TFIDF,ic_StockMixer_T1_TFIDF,gross_StockMixer_T1_TFIDF,pred_StockMixer_T1_TFIDF,ic_GBM_SHUFFLE,gross_GBM_SHUFFLE,pred_GBM_SHUFFLE,ic_StockMixer_T1_SHUFFLE,gross_StockMixer_T1_SHUFFLE,pred_StockMixer_T1_SHUFFLE,ic_GBM_NOTEXT,gross_GBM_NOTEXT,pred_GBM_NOTEXT,ic_StockMixer_T1_NOTEXT,gross_StockMixer_T1_NOTEXT,pred_StockMixer_T1_NOTEXT,turnover_GBM_EVENT,net_GBM_EVENT,turnover_GBM_TFIDF,net_GBM_TFIDF,turnover_GBM_SHUFFLE,net_GBM_SHUFFLE,turnover_GBM_NOTEXT,net_GBM_NOTEXT,turnover_StockMixer_T1_EVENT,net_StockMixer_T1_EVENT,turnover_StockMixer_T1_TFIDF,net_StockMixer_T1_TFIDF,turnover_StockMixer_T1_SHUFFLE,net_StockMixer_T1_SHUFFLE,turnover_StockMixer_T1_NOTEXT,net_StockMixer_T1_NOTEXT
2025-08-01,2025-08,17,17,-0.022058823529411766,,,0.22794117647058823,,,0.2948411847992737,,,0.420148688338965,,,0.09803921568627451,,,0.5808823529411765,,,-0.10668303660625177,,,-0.14460784313725492,,,,,,,,,,,,,,,,,,
2025-08-04,2025-08,15,15,-0.21863939723345946,,,0.05714285714285714,,,0.05,,,-0.14285714285714285,,,0.14642857142857144,,,-0.3,,,-0.07387687194103583,,,0.21785714285714286,,,,,,,,,,,,,,,,,,
2025-08-05,2025-08,24,24,-0.3496412346189924,-0.1959455695168123,0.1092262992967196,-0.38956521739130434,-0.04175990281129216,1.410577192902565,-0.1940464035232121,-0.19011027939204567,0.20678112238355337,0.07942364423275657,-0.08971218285313687,1.6664817780256271,-0.24347826086956523,-0.054369828884511084,0.11628627496366067,0.23130434782608697,0.22669891088558686,1.694547027349472,-0.2645464126619287,0.03221275516273697,0.08922519759760066,-0.09652173913043478,-0.3243518487204658,0.9108746647834778,1.0,-0.1984455695168123,1.0,-0.19261027939204567,1.0,-0.05686982888451109,1.0,0.029712755162736974,1.0,-0.04425990281129216,1.0,-0.09221218285313687,1.0,0.22419891088558686,1.0,-0.3268518487204658
2025-08-06,2025-08,26,26,-0.27931623931623933,-0.30933459979485367,0.13843304002198828,-0.1664957264957265,-0.15513682095645942,1.6253472765286765,-0.3518550406867023,-0.23814373059969843,0.09249019564637492,-0.012725939887984346,-0.2839986297497139,2.342891534169515,-0.07965811965811966,-0.02756448852913692,0.10213026007422482,0.0947008547008547,-0.02408367045600235,1.680289556582769,-0.16242092902795421,-0.1778356181279657,0.10096916748626292,-0.13709401709401708,-0.1854449474409942,1.0277480681737263,1.3333333333333333,-0.312667933128187,1.6666666666666665,-0.2423103972663651,1.6666666666666665,-0.031731155195803586,2.0,-0.1828356181279657,1.6666666666666665,-0.1593034876231261,2.0,-0.2889986297497139,1.6666666666666665,-0.028250337122669014,1.0,-0.18794494744099421
2025-08-07,2025-08,27,24,-0.12576312576312576,-0.05766553461514501,0.1233838396435799,-0.152014652014652,-0.00511060483510728,1.856594130396843,-0.18238883920533808,-0.07244323446512746,0.25941556996976844,0.24145974468388784,0.14859268972444079,1.251694068312645,-0.07326007326007326,0.01097910208782249,0.1273603164503552,0.038461538461538464,-0.04879716531951628,1.6685088276863098,0.06015267455988234,-0.03791481382891826,0.10345451389182865,-0.03235653235653236,-0.23128197869511324,1.3363456428050995,2.0,-0.06266553461514501,1.6666666666666665,-0.07660990113179413,2.0,0.00597910208782249,2.0,-0.042914813828918257,1.6666666666666665,-0.009277271501773945,1.6666666666666665,0.1444260230577741,2.0,-0.053797165319516276,1.0,-0.23378197869511325
2025-08-08,2025-08,11,11,-0.4,,,-0.11818181818181818,,,0.7972685832618591,,,0.21412356236175645,,,-0.3181818181818182,,,-0.23636363636363636,,,-0.17272727272727273,,,-0.03636363636363636,,,,,,,,,,,,,,,,,,
2025-08-11,2025-08,22,21,-0.19706380575945792,0.08254119792337994,0.10438041236699054,0.16544325239977414,0.27484725589773273,4.550728142261505,-0.07622811970638058,-0.21553988553860048,0.1103409837639618,0.19593450028232637,0.02607676151837457,1.6217285990715027,-0.16996047430830039,-0.05803927128645109,0.11415804709453947,0.028797289666854884,0.07781246504072026,4.335631400346756,-0.24675324675324675,-0.05056852855204369,0.07065792377837407,0.21174477696216826,0.09253344942896635,1.1555439066141844,2.0,0.07754119792337993,2.0,-0.2205398855386005,1.5,-0.06178927128645109,1.5,-0.05431852855204369,1.5,0.27109725589773276,2.0,0.02107676151837457,2.0,0.07281246504072025,1.5,0.08878344942896635
2025-08-12,2025-08,15,14,-0.36428571428571427,,,0.07142857142857142,,,-0.075,,,0.23214285714285715,,,-0.03214285714285714,,,0.13214285714285715,,,0.064343189231737,,,0.15357142857142858,,,,,,,,,,,,,,,,,,
2025-08-13,2025-08,19,18,-0.13251427339749908,,,0.4280701754385965,,,0.03334796284175473,,,-0.2474769874046009,,,0.18947368421052632,,,-0.14912280701754385,,,0.002632733908559584,,,0.1736842105263158,,,,,,,,,,,,,,,,,,
2025-08-14,2025-08,16,15,0.45294117647058824,,,-0.09411764705882353,,,-0.06764705882352941,,,0.047058823529411764,,,0.36470588235294116,,,-0.13823529411764707,,,0.47058823529411764,,,0.29411764705882354,,,,,,,,,,,,,,,,,,
2025-08-15,2025-08,11,11,0.20909090909090908,,,0.43636363636363634,,,0.44545454545454544,,,0.42727272727272725,,,0.39090909090909093,,,0.6727272727272727,,,0.2818181818181818,,,0.5636363636363636,,,,,,,,,,,,,,,,,,
2025-08-18,2025-08,15,15,-0.5321428571428571,,,-0.42142857142857143,,,-0.21785714285714286,,,-0.014285714285714285,,,-0.42142857142857143,,,0.19642857142857142,,,-0.46785714285714286,,,-0.03214285714285714,,,,,,,,,,,,,,,,,,
2025-08-19,2025-08,10,10,-0.5515151515151515,,,-0.4303030303030303,,,-0.22424242424242424,,,-0.01818181818181818,,,-0.006060606060606061,,,0.16363636363636364,,,-0.3212121212121212,,,-0.2606060606060606,,,,,,,,,,,,,,,,,,
2025-08-20,2025-08,13,13,-0.3021978021978022,,,0.07142857142857142,,,-0.03301241087284377,,,-0.33012410872843767,,,-0.0989010989010989,,,0.32967032967032966,,,-0.09340659340659341,,,-0.23076923076923078,,,,,,,,,,,,,,,,,,
2025-08-22,2025-08,10,9,-0.2606060606060606,,,0.22424242424242424,,,-0.6606060606060606,,,0.030303030303030304,,,0.006060606060606061,,,0.23636363636363636,,,-0.2,,,-0.10303030303030303,,,,,,,,,,,,,,,,,,
