date,month,n,n_tradable,ic_EMBED,gross_EMBED,ic_TFIDF,gross_TFIDF,ic_SHUFFLE,gross_SHUFFLE,ic_NOTEXT,gross_NOTEXT,turnover_EMBED,net_EMBED,turnover_TFIDF,net_TFIDF,turnover_SHUFFLE,net_SHUFFLE,turnover_NOTEXT,net_NOTEXT
2025-08-01,2025-08,372,364,0.012838423340535865,0.032005982281477365,-0.03774916152831344,0.00985696241341677,0.06770228863011128,0.055596044180872675,0.20366220631706347,0.029695104338805078,1.0,0.029505982281477366,1.0,0.0073569624134167694,1.0,0.05309604418087267,1.0,0.02719510433880508
2025-08-04,2025-08,396,387,-0.007337968924486087,-0.050036286713521116,-0.04448420030057381,-0.09359630891451608,-0.04160388352255647,0.008059711190548002,0.2409820025808257,0.08324571146955677,1.7692307692307692,-0.05445936363659804,1.8717948717948718,-0.09827579609400326,1.9743589743589742,0.0031238137546505656,1.2307692307692306,0.0801687883926337
2025-08-05,2025-08,473,454,0.0302949605078933,0.017257096502731977,0.02787684520310496,0.021068350081989387,0.02828990686679397,0.05333086288674308,0.16522055851873288,0.042808819598814773,1.8444444444444443,0.012645985391620866,1.8666666666666667,0.01640168341532272,1.9555555555555555,0.048441973997854194,1.3555555555555556,0.03941993070992589
2025-08-06,2025-08,581,559,-0.043608265891622366,-0.01333991736466035,-0.0978842576629801,-0.005140160272410314,-0.03485808546721119,0.011553355986178607,0.1509214349653961,-0.016176719802971657,1.6785714285714286,-0.017536345936088923,1.7678571428571428,-0.009559803129553172,1.9464285714285714,0.006687284557607178,1.3035714285714286,-0.01943564837440023
2025-08-07,2025-08,589,550,0.02303465616965194,-0.050384087727228855,0.0335696764930031,0.03298364605453212,0.011958347378845588,0.004031541446218319,0.19726691171418353,0.024948039912912653,1.75,-0.05475908772722886,1.8392857142857142,0.028385431768817835,1.9285714285714284,-0.0007898871252102523,1.3392857142857142,0.02159982562719837
2025-08-08,2025-08,366,353,-0.1612845370747373,-0.0925078860359132,-0.06272430054296697,-0.08083761122098129,0.0344817500382503,0.04226251440923715,0.10584359440502102,-0.026917710062515143,1.8727272727272726,-0.09718970421773138,1.7818181818181817,-0.08529215667552675,1.9454545454545453,0.03739887804560079,1.3818181818181818,-0.030372255517060597
2025-08-11,2025-08,398,376,0.00017855850359854976,-0.03343552960423066,-0.0957571372984293,-0.06109132674512066,-0.06237418974892487,0.00918632876060653,0.1013635297071869,0.05650968964221961,1.7894736842105263,-0.037909213814756974,1.7368421052631577,-0.06543343200827856,1.9473684210526314,0.0043179077079749505,1.2368421052631577,0.05341758437906172
2025-08-12,2025-08,266,252,-0.0933775055320987,-0.06169979414585011,-0.041378125354361805,-0.12808412755058912,0.06751750150595498,0.009744564618896445,0.1420493145095089,0.15674621086745244,1.9210526315789473,-0.06650242572479748,1.763157894736842,-0.13249202228743123,1.9210526315789473,0.004941933039949077,1.3157894736842106,0.1534567371832419
2025-08-13,2025-08,336,316,-0.080415083394113,-0.043038406998579914,-0.03537142769129914,-0.007152310186013942,0.010361248598078476,-0.023943849736270402,0.05713732554406811,-0.04718095809603181,1.78125,-0.04749153199857992,1.8125,-0.011683560186013943,1.90625,-0.0287094747362704,1.1875,-0.05014970809603181
2025-08-14,2025-08,327,311,0.051992409700695304,0.030487024905338375,0.15522334212021188,0.05731777353161699,-0.05677087627767324,0.0036764507444403335,-0.05032589879565706,-0.10165560030044553,1.65625,0.026346399905338373,1.6875,0.05309902353161699,1.90625,-0.0010891742555596664,1.28125,-0.10485872530044553
2025-08-15,2025-08,303,296,0.08410002005481988,0.039390748833903644,0.10100742558549489,0.015282753924802828,-0.05931385416354505,0.013814798216305005,0.02617602297002095,-0.047082131253550846,1.8387096774193548,0.03479397464035526,1.5161290322580645,0.011492431344157665,1.8709677419354838,0.009137378861466296,1.1612903225806452,-0.04998535706000246
2025-08-18,2025-08,370,360,0.09192650212134477,0.0020166264218576917,-0.04584123647166689,0.00857850942655699,-0.05031536312650341,0.049576725619097664,-0.11139579524301108,-0.11844173541773258,1.8333333333333333,-0.002566706911475641,1.8333333333333333,0.003995176093223657,1.972222222222222,0.04464617006354211,1.25,-0.12156673541773258
2025-08-19,2025-08,259,252,0.17084194787989918,0.05200070144120837,0.0219218881698232,0.035696431473081776,0.020245471550927,0.01692050433721316,-0.10830012225361063,-0.11342364480560131,1.8611111111111112,0.047347923663430595,1.8055555555555556,0.031182542584192886,1.9444444444444444,0.012059393226102048,1.25,-0.11654864480560131
2025-08-20,2025-08,276,267,0.26604110495234495,0.03604328827008285,0.17025759698338788,0.08408179242646475,-0.0618451138171546,-0.05020379673951664,-0.016576818253164195,-0.10337814729396844,1.7777777777777777,0.031598843825638406,1.8518518518518519,0.07945216279683512,1.9259259259259258,-0.05501861155433145,1.1481481481481481,-0.1062485176643388
2025-08-21,2025-08,255,247,0.16702585380225304,0.18239782580600541,0.13205971675133354,0.09284578473194198,-0.07806423621477332,0.03983384246233704,0.08263157132931913,-0.10027273348768286,1.5925925925925926,0.17841634432452394,1.7407407407407407,0.08849393288009012,1.962962962962963,0.03492643505492963,1.2222222222222223,-0.10332828904323842
2025-08-22,2025-08,232,224,0.3979988435608474,0.19507195881478315,0.20602312299080688,0.0780519663426876,0.09239292604348172,0.10151018037096718,-0.10493110559708162,-0.05869275672307813,1.8800000000000001,0.19037195881478314,1.72,0.0737519663426876,1.8,0.09701018037096718,1.28,-0.06189275672307813
2025-08-25,2025-08,295,290,0.16995593717541035,0.07753164697520687,0.12783675159834443,0.13544488450093026,0.05355419610046486,0.0007504138254373939,-0.08072255929398786,-0.05084916498875214,1.7241379310344829,0.07322130214762067,1.793103448275862,0.1309621258802406,1.896551724137931,-0.003990965484907434,1.206896551724138,-0.05386640636806248
2025-08-26,2025-08,281,274,0.11583040531329547,0.14002173445572136,0.14837319226327095,0.14268802422663668,-0.12543544302019324,-0.02570820911128926,-0.0054889722982401105,-0.04026543342982612,1.8275862068965516,0.13545276893848,1.8620689655172413,0.13803285181284358,1.896551724137931,-0.030449588421634085,1.206896551724138,-0.043282674809136466
2025-08-27,2025-08,302,293,0.15578251622716688,0.1348786336938045,0.10750548272786714,-0.0001459184490109483,0.04778578771297743,-0.013786711781656386,-0.1858084138483594,-0.07679482583645665,1.793103448275862,0.13039587507311484,1.7586206896551724,-0.00454247017314888,1.8620689655172413,-0.01844188419544949,1.2758620689655171,-0.07998448100887044
2025-08-28,2025-08,280,270,0.16845359982352098,0.051002530747897436,0.14137257787255786,0.17015288205763923,-0.0033457984209069704,0.015346081730142916,-0.13795802789029743,-0.16122834067693126,1.8275862068965516,0.04643356523065606,1.7241379310344827,0.16584253723005302,2.0,0.010346081730142915,1.2758620689655171,-0.16441799584934505
2025-08-29,2025-08,250,245,0.06263188475611768,0.11806209135325169,0.13281655317226382,0.11989977060002197,0.07827630162424606,0.0015774103346789803,-0.1767476599625594,-0.15639215870707135,1.8888888888888888,0.11333986913102946,1.6666666666666665,0.1157331039333553,1.9629629629629628,-0.003329997072728427,1.222222222222222,-0.1594477142626269
2025-09-02,2025-09,360,351,0.23444028378117646,0.15167187411309413,0.2519239036211,0.13006218250513796,0.03698435551782282,0.005119945039492514,-0.13099188850427682,-0.18023915729674353,1.7714285714285714,0.1472433026845227,1.857142857142857,0.12541932536228081,1.8285714285714285,0.0005485164680639424,1.3428571428571427,-0.1835963001538864
2025-09-03,2025-09,278,273,0.27207164374611215,0.14969319224405303,0.2843285366990436,0.1543794648640543,-0.022493435784067914,-0.06357372759453109,-0.19996849847477322,-0.11015601361027855,1.7428571428571429,0.14533604938691017,1.8285714285714285,0.14980803629262573,1.9428571428571428,-0.06843087045167394,1.3714285714285714,-0.11358458503884998
2025-09-04,2025-09,275,267,0.03610940847028919,-0.008545187918761174,0.1358097374424051,0.1102932799609742,-0.02355879557799712,0.016672674755251735,-0.06727157323793312,-0.017296221251122554,1.8518518518518516,-0.013174817548390803,1.8148148148148147,0.10575624292393716,1.8888888888888888,0.011950452533029513,1.222222222222222,-0.020351776806678108
2025-09-05,2025-09,257,245,0.09984050582490939,0.025502319907400733,0.11971114930810338,0.15819701788614637,-0.013728256656682983,-0.015879245753955176,-0.10135677766717945,0.6206049367663197,1.8148148148148147,0.020965282870363696,1.6296296296296295,0.1541229438120723,1.9259259259259258,-0.02069406056876999,1.1851851851851851,0.6176419738033567
