date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-07-15,CSX,CSX,,147923,2.2373,2.0298,49.2802
2026-07-15,CVX,CVX,,87614,2.5842,2.2364,179.9228
2026-07-15,D,D,,196437,2.7259,2.8121,70.997
2026-07-15,DD,DD,,7193,17.4534,16.5103,134.0852
2026-07-15,DE,DE,,13443,11.4693,11.2045,583.4291
2026-07-15,DHI,DHI,,26784,12.0648,10.5374,151.473
2026-07-15,DIS,DIS,,127883,2.4382,2.0566,97.2951
2026-07-15,DKNG,DKNG,,88890,5.1244,3.9378,25.6567
2026-07-15,DLR,DLR,,16866,12.4573,12.012,174.1664
2026-07-15,DOW,DOW,,132405,4.3793,3.3962,29.6517
2026-07-15,DUK,DUK,,91313,4.4364,4.012,125.5274
2026-07-15,DXCM,DXCM,,37744,6.956,5.4682,73.9816
2026-07-15,EA,EA,,54213,2.276,2.41,207.0587
2026-07-15,ECL,ECL,,8439,9.788,8.8443,270.9907
2026-07-15,ELV,ELV,,37323,11.921,10.4346,388.572
2026-07-15,EMR,EMR,,13208,11.2684,11.0217,136.1051
2026-07-15,ENPH,ENPH,,25066,25.5195,23.3863,43.7271
2026-07-15,EOG,EOG,,36465,6.6142,5.8806,136.6475
2026-07-15,EQIX,EQIX,,10441,16.0784,15.1895,1018.0245
2026-07-15,ETN,ETN,,29873,13.3727,12.1665,408.6867
2026-07-15,EXC,EXC,,162959,2.5344,2.1503,46.5307
2026-07-15,F,F,,98368,7.0374,7.0299,14.2188
2026-07-15,FCX,FCX,,190493,4.1432,3.3462,60.8583
2026-07-15,FDX,FDX,,18123,10.8556,10.5379,316.4514
2026-07-15,FSLR,FSLR,,17676,26.9179,24.9599,223.89
2026-07-15,FTNT,FTNT,,32967,11.5852,10.12,165.1452
2026-07-15,GD,GD,,13636,8.7031,7.9085,367.7329
2026-07-15,GE,GE,,48899,4.9012,4.2276,357.2715
2026-07-15,GEHC,GEHC,,58841,6.2911,6.3032,63.2494
2026-07-15,GILD,GILD,,50768,4.3663,3.7789,131.9744
2026-07-15,GIS,GIS,,194820,3.2578,2.6994,37.0513
2026-07-15,GM,GM,,44496,4.112,3.8662,77.3102
2026-07-15,GOOGL,GOOG,L,452854,1.7223,1.6185,369.6553
2026-07-15,GS,GS,,51014,9.9538,8.8716,1138.6273
2026-07-15,HAL,HAL,,134179,3.8734,2.8814,34.9393
2026-07-15,HCA,HCA,,32544,13.2755,11.5215,374.5905
2026-07-15,HD,HD,,37078,4.7676,4.3688,343.2577
2026-07-15,HON,HON,,24163,9.0758,8.4567,222.9982
2026-07-15,ICE,ICE,,19691,7.9003,7.1139,139.999
2026-07-15,INTC,INTC,,2287783,2.2791,1.9753,102.0527
2026-07-15,INTU,INTU,,61539,9.931,9.1132,282.5375
2026-07-15,ISRG,ISRG,,67174,5.7308,5.1235,389.5838
2026-07-15,IWM,IWM,,2398658,0.5217,0.3395,295.6973
2026-07-15,JNJ,JNJ,,47884,8.4277,7.65,250.7451
2026-07-15,JPM,JPM,,84804,4.6827,4.0492,347.2946
2026-07-15,KHC,KHC,,126718,4.0784,3.9208,25.4757
2026-07-15,KMI,KMI,,105044,3.3248,3.1013,32.2843
2026-07-15,KO,KO,,329183,1.5777,1.2085,82.8468
2026-07-15,KR,KR,,61375,2.9841,3.4112,57.8101
2026-07-15,LIN,LIN,,27520,7.5985,7.5328,516.0742
2026-07-15,LLY,LLY,,23803,8.7234,7.8634,1146.1214
2026-07-15,LMT,LMT,,9843,10.6967,9.2707,515.1982
2026-07-15,LOW,LOW,,12314,11.8328,11.005,210.5972
2026-07-15,LULU,LULU,,20967,12.5467,11.6289,118.6498
2026-07-15,MA,MA,,53688,6.8126,6.3383,537.8727
2026-07-15,MCD,MCD,,61284,3.6269,3.3421,267.3885
2026-07-15,MDLZ,MDLZ,,233851,2.7029,1.7151,58.6872
2026-07-15,MDT,MDT,,128625,4.8139,4.8948,81.0628
2026-07-15,META,META,,159219,5.0705,4.73,675.4171
2026-07-15,MLM,MLM,,10894,15.8678,14.764,572.1148
2026-07-15,MNST,MNST,,94756,3.8904,4.0441,98.5005
2026-07-15,MO,MO,,71651,4.3719,4.2161,70.8687
2026-07-15,MPC,MPC,,22945,13.8848,13.3627,297.9959
2026-07-15,MRK,MRK,,45694,4.2389,3.2433,123.5813
2026-07-15,MS,MS,,86893,11.72,10.9163,228.2246
2026-07-15,MSFT,MSFT,,254337,2.0818,2.0152,395.5381
2026-07-15,MU,MU,,900891,4.3519,4.1929,909.1446
2026-07-15,NEE,NEE,,178064,2.4973,2.2502,89.0172
2026-07-15,NEM,NEM,,99660,4.1211,4.1837,94.8346
2026-07-15,NFLX,NFLX,,428422,1.8425,1.3531,74.1566
2026-07-15,NKE,NKE,,203866,2.6974,2.3226,43.0903
2026-07-15,NOC,NOC,,10174,11.7953,10.3525,530.3285
2026-07-15,NOW,NOW,,192431,6.1539,5.6781,105.6406
2026-07-15,NSC,NSC,,12356,11.0331,9.8226,326.181
2026-07-15,NUE,NUE,,11815,15.9703,15.3081,235.786
2026-07-15,NVDA,NVDA,,1064071,1.4168,1.4282,209.5209
2026-07-15,O,O,,209020,2.3273,1.5722,63.8675
2026-07-15,OKE,OKE,,32824,6.3462,5.5258,90.8652
2026-07-15,ORCL,ORCL,,126222,5.3212,4.542,131.9856
2026-07-15,ORLY,ORLY,,117978,4.8222,4.7388,84.092
2026-07-15,PANW,PANW,,57815,13.9206,13.2009,356.4176
2026-07-15,PCG,PCG,,64360,5.7395,5.7225,17.4602
2026-07-15,PEP,PEP,,83854,3.045,2.9384,136.0446
2026-07-15,PFE,PFE,,116770,4.0591,4.0478,24.6814
2026-07-15,PG,PG,,76708,4.659,4.7299,147.7272
2026-07-15,PGR,PGR,,33846,11.6973,10.691,207.5258
2026-07-15,PLD,PLD,,27552,6.2894,5.6267,142.7441
2026-07-15,PLTR,PLTR,,1177164,3.532,3.0026,133.9012
2026-07-15,PLUG,PLUG,,44908,45.6132,45.5581,2.1956
2026-07-15,PM,PM,,23637,8.3588,7.2697,179.0531
