month,n_names,ic,ls_gross,long_excess,long_raw,mkt,top_names,bot_names,era,cost_house,ls_net_house,cost_stress,ls_net_stress
2018-01,66,-0.024089594924544846,-0.044020342465716,0.00835358900100065,0.05021268943407235,-0.03116975020661894,16649|83822|16188|92322|27828|18973|14141|10220,83011|14182|42585|77606|21055|13181|15643|14609,E1,0.0012,-0.045220342465716,0.005,-0.049020342465715995
2018-02,65,0.09672202797202797,0.0281083495811649,0.08367987499299291,0.028898811779486697,-0.0007720899839567252,13181|81481|16968|80320|16064|92322|24441|77175,25320|60580|76279|12008|13527|13511|14970|12873,E1,0.0020307692307692305,0.026077580350395667,0.008461538461538461,0.019646811119626437
2018-03,72,-0.0665959225673677,-0.008892918280125128,0.018833367798944796,0.06081877958838012,-0.015092835877548061,77175|12873|82598|88790|93096|87432|14040|32678,85914|79881|92322|14182|86594|15707|77462|77606,E1,0.0019714285714285715,-0.0108643468515537,0.008214285714285714,-0.01710720399441084
2018-04,60,-0.09191442067240901,-0.027895348190164808,-0.014494542560515244,-0.0021033072691845254,0.02627882955564753,14970|16304|93002|14040|15707|50948|77357|14141,14803|24441|92203|77699|78975|51369|80320|85914,E1,0.0023,-0.030195348190164808,0.009583333333333333,-0.03747868152349814
2018-05,72,0.031577593414367486,-0.009119024154434892,0.01878799141212189,0.08216716212939615,0.024069324032785833,80320|78975|21055|16649|50948|51369|15145|15535,81481|12008|32870|83822|76279|18973|15058|85390,E1,0.001714285714285714,-0.010833309868720605,0.007142857142857142,-0.016261881297292034
2018-06,70,0.2832473099466363,0.10550408140078175,0.04423793162447729,0.11300351036836452,0.010305460682916712,78975|87430|61241|16064|85631|16649|82598|53613,92635|77175|77462|77606|42585|83976|77699|93096,E1,0.0017142857142857142,0.10378979568649604,0.007142857142857143,0.09836122425792461
2018-07,67,-0.18090031127783546,-0.02627763067322205,-0.029456056019065962,0.002293500042483717,0.01760750518423504,14803|79881|87430|13511|15145|16188|32870|85390,64785|17341|14040|18973|77606|85914|16649|17685,E1,0.002123076923076923,-0.028400707596298973,0.008846153846153846,-0.035123784519375895
2018-08,74,0.13854128100703442,0.07175457200567768,0.08883995854395553,0.02128958173657619,0.020937931185347924,80320|77606|14803|32678|15707|15058|61241|16649,92322|16188|14609|25320|81481|85390|82598|77462,E1,0.0019714285714285715,0.06978314343424911,0.008214285714285714,0.06354028629139197
2018-09,77,-0.09436678037153952,-0.015818060088671253,-0.026115054139452344,0.06298313995546884,-0.06428818437340578,32678|14040|92322|93002|81481|16064|15145|50948,24441|77699|15707|83822|16649|51369|10866|14544,E1,0.0020800000000000003,-0.01789806008867125,0.008666666666666668,-0.024484726755337922
2018-10,71,-0.21083165660630449,-0.07599761547384168,-0.04941983273013178,-0.11524883805315357,-0.02894020125742669,79881|92294|14231|61241|17341|10220|92635|87430,88790|25320|13323|81481|87337|64785|83011|32651,E1,0.0019714285714285715,-0.07796904404527025,0.008214285714285714,-0.0842119011881274
2018-11,74,-0.040770085153646794,-0.008354211099848144,-0.03146017820527714,-0.026867036477902,-0.08711409193637987,17685|14434|83822|24441|14970|87337|77357|91611,83011|82598|79881|81481|77462|25320|85914|15643,E1,0.0015428571428571431,-0.009897068242705287,0.006428571428571429,-0.014782782528419573
2018-12,71,0.06173708920187793,0.0011973774914735523,0.02503267030629255,-0.07396864064913479,0.10424708080215872,85914|32870|10220|13628|84519|15535|15145|17821,93096|85390|92322|14182|86489|17685|83822|12008,E1,0.0018,-0.0006026225085264477,0.0075,-0.006302622508526447
2019-01,66,0.0030894801116400665,0.0253870416324585,0.03938428720310406,0.12177437279962634,0.0475672998196639,14970|18267|87430|27828|79881|86489|13527|17685,13628|83822|24441|92294|76839|93002|53613|92322,E1,0.002123076923076923,0.02326396470938158,0.008846153846153846,0.016540887786304657
2019-02,71,-0.08216237973700274,-0.0389115116264302,-0.03172596609040236,0.15315700872897106,0.019367718096375608,76839|93096|85631|15643|51369|12008|60580|13323,77175|82598|85390|80320|18973|92203|64785|17341,E1,0.0019714285714285715,-0.04088294019785877,0.008214285714285714,-0.04712579734071592
2019-03,71,0.14785378940308513,0.03295140459201668,0.023467898901229006,0.04118566910693409,0.029877226391264333,13527|27828|85914|14803|92471|87432|83976|84519,32651|76839|93002|16076|10866|17949|92322|79881,E1,0.0019714285714285715,0.03097997602058811,0.008214285714285714,0.024737118877730967
2019-04,60,0.17021394831897754,0.055982103346232284,0.03227527837218844,0.03475748218842697,-0.013829388715660973,85914|75905|86580|77357|42585|14040|91611|32678,76839|24441|64785|14182|93002|92294|25320|18267,E1,0.002,0.05398210334623228,0.008333333333333333,0.04764877001289895
2019-05,78,0.2715891703233475,0.07700705571297237,0.028408157653979572,-0.001420297283574734,0.019953899390010132,86580|17821|21055|50948|32870|13527|13628|16188,24441|15707|83822|13181|85390|92322|18267|16304,E1,0.0013599999999999999,0.07564705571297237,0.005666666666666666,0.0713403890463057
2019-06,72,0.2641970544729565,0.0656181065248064,0.04793357561224972,0.09985364774168516,0.02049439243732576,83976|92471|18484|86580|13323|75905|14970|13628,92635|93002|15058|61313|77175|87432|15643|92322,E1,0.0018857142857142857,0.06373239223909212,0.007857142857142858,0.05776096366766355
2019-07,69,0.23412495432955793,0.11317207513462112,0.024541371214507904,0.01771982499404124,-0.022241082550469082,51369|15535|10220|85631|93002|77357|13628|87430,32651|85390|24441|15058|42585|75905|79881|10866,E1,0.0019384615384615386,0.11123361359615958,0.008076923076923077,0.10509515205769804
2019-08,81,-0.04397018970189702,-0.017432379931667977,-0.020955354893862015,-0.027584471065349864,0.04205682347849171,13628|16304|16649|61241|25320|53613|14141|85631,15535|27828|24441|60580|32651|92471|15058|81481,E1,0.0015,-0.018932379931667978,0.00625,-0.023682379931667975
2019-09,81,-0.2551716350496838,-0.08471093722336928,-0.055333683317620175,-0.006048899165176369,0.002616330407219536,18484|24441|87337|18726|81481|77699|93096|14040,64785|16304|14609|14434|93002|15707|14544|15058,E1,0.001875,-0.08658593722336928,0.0078125,-0.09252343722336928
2019-10,68,-0.1766996220941329,-0.0734057813765818,-0.03336362633537127,-0.021214483473725624,0.04896565900616667,91611|76839|15707|93096|51369|13527|17341|80320,32651|85390|17821|77606|24441|92294|87337|83976,E1,0.0020307692307692305,-0.07543655060735102,0.008461538461538461,-0.08186731983812026
2019-11,78,-0.12702487386031688,-0.07155290656391755,-0.023504165697401894,0.07225291712426304,0.027755391879296765,13511|83011|10866|92294|16304|14040|16649|87337,42585|17821|14970|15058|85390|90215|18973|14603,E1,0.0018399999999999998,-0.07339290656391755,0.007666666666666665,-0.07921957323058422
2019-12,76,0.127136021872864,-0.06482564222765982,-0.003538993487271417,0.03365835448913633,0.03325948304366011,63715|87432|80320|75905|77606|85631|24441|77357,64785|86594|27828|76839|85390|78975|93096|79881,E1,0.002,-0.06682564222765983,0.008333333333333335,-0.07315897556099316
2020-01,77,-0.09059421233049872,-0.029808315589391905,-0.006712189278045111,0.04627811413049864,0.02136179030057539,32870|87432|83976|85631|18267|25320|93002|14970,77699|79881|14544|77462|16064|87337|77606|81481,E1,0.002,-0.03180831558939191,0.008333333333333335,-0.038141648922725244
2020-02,74,0.1164161421695668,0.056686004587950735,-0.05035946329648965,0.056553496903730426,-0.3330904271733127,86489|79881|14434|77357|85914|15058|14141|92294,77462|82598|77606|13511|63715|17949|76279|15707,E1,0.0018857142857142857,0.054800290302236446,0.007857142857142858,0.048828861730807874
2020-03,88,0.1926411214889647,0.08054497242401287,0.07648702213850397,-0.3625122543592299,0.19108051427019856,93096|16076|18726|32678|77357|14603|13323|61241,85390|77462|86489|79881|17949|13527|15707|82598,E1,0.0016941176470588232,0.07885085477695405,0.007058823529411764,0.0734861488946011
2020-04,76,0.21348061162912668,0.05588922890025719,0.0894306356258608,0.38693872297937965,0.04371202821408038,92322|16968|13511|86594|86580|14803|84519|61241,79881|64785|76279|15643|14544|87432|32651|77462,E1,0.002,0.053889228900257186,0.008333333333333335,0.047555895566923856
2020-05,78,-0.11243187192554281,-0.010809936706771606,0.129721231779683,0.20371356869290552,0.09875095350915464,93096|14141|86489|83011|50948|14231|84519|17685,92471|77606|42585|77462|76279|92294|91611|17949,E1,0.0013599999999999999,-0.012169936706771606,0.005666666666666666,-0.016476603373438273
2020-06,78,0.22495226292694645,0.04475110966490237,0.05827598484068687,0.17443251961607661,0.05700526332053091,13181|85631|17341|77357|16188|14231|87432|85914,17821|77606|77699|79881|83822|92635|77462|78975,E1,0.0018399999999999998,0.04291110966490237,0.007666666666666665,0.03708444299823571
2020-07,64,0.3168498168498168,0.09769042616495861,0.07481778786925282,0.12502534585774364,0.05408342850278025,32651|86489|32870|24441|14603|15535|87430|81481,79881|42585|27828|17821|16968|77462|77606|16304,E1,0.0019,0.09579042616495861,0.007916666666666667,0.08977375949829194
2020-08,73,-0.17539800074046652,-0.06993883949183498,0.03500248237598537,0.11399011659590728,-0.02010445381501136,76839|61241|92203|18267|87432|13628|77357|16304,77699|77462|17821|15058|93002|63715|14603|13527,E1,0.0018,-0.07173883949183497,0.0075,-0.07743883949183497
2020-09,78,0.381201077403609,0.12888878571847812,0.0400122795198733,0.052018853974011924,0.042341177407175135,15643|18973|16076|80320|14434|87430|14970|53613,14603|15145|76279|42585|17821|15707|64785|32870,E1,0.0019200000000000003,0.1269687857184781,0.008,0.12088878571847811
