month,n_names,ic,ls_gross,long_excess,long_raw,mkt,top_names,bot_names,era,cost_house,ls_net_house,cost_stress,ls_net_stress
2018-01,66,0.8881953867028496,0.23263821655577333,0.15535532815377062,0.048660634517778946,-0.03116975020661894,16064|78975|15707|83976|15643|13628|10220|53613,82598|83822|32651|83011|27828|77699|63715|15058,E1,0.0012,0.23143821655577332,0.005,0.22763821655577332
2018-02,65,0.9069055944055944,0.34718388716162535,0.27878831778341484,0.04882296864933947,-0.0007720899839567252,84519|50948|14803|16304|90215|51369|15643|53613,81481|92294|32651|25320|76839|12873|61241|14040,E1,0.001753846153846154,0.3454300410077792,0.0073076923076923084,0.33987619485393306
2018-03,72,0.9052350633481254,0.21213608275660745,0.16779289694295252,0.05372199607983034,-0.015092835877548061,16304|83976|21055|92322|14182|93096|10220|14803,53613|85390|64785|13323|16064|27828|87337|60580,E1,0.0019714285714285715,0.21016465418517888,0.008214285714285714,0.20392179704232175
2018-04,60,0.9024729091414283,0.2366211386713159,0.1452205201006926,0.03833263285503743,0.02627882955564753,61313|53613|83822|77462|15145|92203|16968|79881,84519|10220|51369|91611|13527|16076|25320|77699,E1,0.0022,0.2344211386713159,0.009166666666666665,0.22745447200464924
2018-05,72,0.8875811949321502,0.2954334514788387,0.19861710033150784,0.03693622248610081,0.024069324032785833,88790|77462|14040|15058|50948|75905|92203|14609,14141|16188|87337|92471|12008|77699|83822|91611,E1,0.0016285714285714284,0.2938048800502673,0.006785714285714286,0.2886477371931244
2018-06,70,0.9111188872364622,0.18864297662457866,0.08640998763724539,0.0324495843368078,0.010305460682916712,90215|16188|42585|14141|32678|87430|84519|82598,77699|53613|92635|16076|77175|93002|21055|75905,E1,0.0021428571428571425,0.18650011948172152,0.008928571428571428,0.17971440519600723
2018-07,67,0.9037433155080214,0.24455010142118028,0.08778501558502844,-0.04402109113456098,0.01760750518423504,77606|15535|93096|76839|14803|17685|61241|14182,75905|24441|13323|32651|53613|51369|77699|16188,E1,0.0020307692307692305,0.24251933219041105,0.008461538461538461,0.2360885629596418
2018-08,74,0.8620066641984447,0.3197354538787136,0.22120354738576617,0.006928817069889999,0.020937931185347924,16649|16968|61313|13181|32651|32678|92471|92203,14141|79881|87337|85914|14603|81481|83976|16076,E1,0.0018857142857142857,0.31784973959299934,0.007857142857142858,0.31187831102157076
2018-09,77,0.9066459855933539,0.17310252012560418,0.06379542834724514,0.005241757934701408,-0.06428818437340578,25320|14040|15535|84519|81481|88790|32651|77606,61241|92294|14544|14434|16064|50948|75905|17949,E1,0.002,0.17110252012560417,0.008333333333333335,0.16476918679227084
2018-10,71,0.8827632461435276,0.29560872433155844,0.1480425769124126,-0.10159000121205411,-0.02894020125742669,64785|60580|32678|87430|51369|92322|25320|75905,16064|16649|24441|85914|17949|82598|10220|77699,E1,0.0018,0.2938087243315584,0.0075,0.28810872433155843
