month,n_names,ic,ls_gross,long_excess,long_raw,mkt,top_names,bot_names,era,cost_house,ls_net_house,cost_stress,ls_net_stress
2018-01,66,-0.036175764533973497,-0.06910061961878183,0.014046859661350357,0.04940748951316446,-0.03116975020661894,16188|82598|63715|77462|13527|10220|14231|78975,25320|83822|14141|13323|15707|91611|16304|90215,E1,0.0012,-0.07030061961878184,0.005,-0.07410061961878184
2018-02,65,-0.07465034965034964,-0.05379923418572047,-0.014120980478680583,0.03803545552114502,-0.0007720899839567252,15145|77357|24441|86489|88790|16649|12008|13181,60580|86580|80320|13511|32870|85631|90215|61241,E1,0.0019384615384615386,-0.05573769572418201,0.008076923076923077,-0.06187615726264355
2018-03,72,0.03929513151971188,0.02333545870947063,0.07040068890048222,0.1440229743478849,-0.015092835877548061,16188|13181|83822|53613|14970|90215|14182|78975,14803|32678|10866|80320|14231|84519|92322|16076,E1,0.0019714285714285715,0.02136403013804206,0.008214285714285714,0.015121172995184918
2018-04,60,0.07396499027507641,0.053967929044908866,0.06762255194060636,0.023142260860778658,0.02627882955564753,24441|79881|21055|14141|13323|86580|64785|77462,14803|92203|13181|27828|88790|32870|77699|61313,E1,0.002,0.051967929044908864,0.008333333333333335,0.045634595711575535
2018-05,72,0.0552125538619847,-0.004785284835153149,0.0470683259613743,0.08175049191363977,0.024069324032785833,14434|15535|80320|83822|88790|17341|51369|15145,32651|53613|82598|77606|79881|32678|14141|83011,E1,0.0017142857142857142,-0.006499570549438863,0.007142857142857143,-0.01192814197801029
2018-06,70,-0.16920654360948295,-0.04486041307284987,-0.02355102744490632,0.015017054938456318,0.010305460682916712,53613|78975|10220|42585|10866|14803|13628|21055,32678|32870|92203|82598|76839|14040|24441|13323,E1,0.0018857142857142857,-0.04674612735856415,0.007857142857142858,-0.05271755592999272
2018-07,67,-0.08560140474100089,-0.035211119952404724,-0.05328192001351227,-0.0036766168637609987,0.01760750518423504,13527|13323|16188|93002|15058|16968|61241|14609,85390|77699|76839|85914|10866|75905|32651|15707,E1,0.0023076923076923075,-0.03751881226009703,0.009615384615384616,-0.04482650456778934
2018-08,74,0.09900037023324693,0.08676173950693486,0.12591627215469461,0.0066560260232937695,0.020937931185347924,16968|14434|92203|14609|13181|16076|14040|17821,51369|24441|14603|14803|15145|83011|93002|14231,E1,0.002057142857142857,0.084704596649792,0.008571428571428572,0.07819031093550628
2018-09,77,0.12508544087491455,0.03292931937155829,-0.014338035269137366,-0.05246672305491393,-0.06428818437340578,79881|77606|83976|14544|92203|81481|50948|15058,32678|17821|16649|13511|21055|87430|51369|75905,E1,0.002,0.030929319371558288,0.008333333333333335,0.024595986038224955
2018-10,71,0.04426559356136821,-0.03342068065069807,-0.04072103068508829,-0.10467066197658673,-0.02894020125742669,93096|16076|13511|12873|85390|15707|81481|16304,87337|32870|92294|53613|92203|87432|61241|82598,E1,0.0022285714285714283,-0.0356492520792695,0.009285714285714286,-0.04270639493641236
2018-11,74,-0.15865235098111805,-0.021548266676814545,-0.02819488587664341,-0.0395718952024331,-0.08711409193637987,17685|14609|15643|81481|14182|42585|14434|82598,76839|32870|83011|13323|32651|77462|63715|14603,E1,0.0019714285714285715,-0.023519695248243117,0.008214285714285714,-0.02976255239110026
2018-12,71,-0.25583501006036213,-0.11193001239723496,0.0133653220258779,-0.08071507792781188,0.10424708080215872,14603|10866|13181|14544|32678|86580|50948|91611,83822|51369|85631|92203|61241|75905|14970|64785,E1,0.002057142857142857,-0.11398715525437782,0.008571428571428572,-0.12050144096866354
2019-01,66,0.18200605364784472,0.053608911138671056,0.09246914535746598,0.043584454549458,0.0475672998196639,27828|32651|81481|18973|17821|77175|84519|15707,77606|86580|77699|13511|16064|21055|87430|83822,E1,0.002123076923076923,0.051485834215594134,0.008846153846153846,0.04476275729251721
2019-02,71,0.10892018779342721,0.019734414879058748,0.03171203845659359,0.11982251655273105,0.019367718096375608,14803|92322|83976|15707|16188|13527|51369|78975,77175|17949|17685|13181|92294|15643|77357|76279,E1,0.002057142857142857,0.01767727202191589,0.008571428571428572,0.011162986307630176
2019-03,71,-0.17481556002682763,-0.03709733462559535,-0.042567878940720456,-0.010476727142165678,0.029877226391264333,13628|77699|15145|10866|14040|16968|84519|85631,24441|16188|25320|15643|15058|61313|75905|14231,E1,0.0019714285714285715,-0.03906876319702392,0.008214285714285714,-0.045311620339881065
2019-04,60,-0.009613781606001669,-0.08112795708875074,-0.03350637769805772,-0.011490724910487554,-0.013829388715660973,18267|14040|84519|93096|16064|53613|85390|17949,15707|25320|13323|51369|77606|13511|17821|24441,E1,0.0019,-0.08302795708875074,0.007916666666666667,-0.08904462375541741
2019-05,78,0.17957991375712892,0.0921919430156792,0.044782266303523,-0.02552787195989742,0.019953899390010132,83011|14434|82598|15707|90215|76279|18973|84519,77462|60580|78975|12008|10220|13511|85631|18267,E1,0.0018399999999999998,0.09035194301567921,0.007666666666666665,0.08452527634901254
2019-06,72,0.1583381567946492,0.060420936811154444,0.02982433823875028,0.07492033105919707,0.02049439243732576,88790|83822|32870|15058|16304|87337|93002|16649,78975|15707|14970|14231|17821|14544|17685|81481,E1,0.0022285714285714283,0.05819236538258302,0.009285714285714286,0.05113522252544016
2019-07,69,0.03777858969674827,0.039476086085145815,-0.03390389766166947,-0.012464824873774495,-0.022241082550469082,42585|86489|90215|77357|13628|87432|14434|87337,15058|83011|93002|53613|92471|16649|79881|85914,E1,0.0023076923076923075,0.037168393777453505,0.009615384615384616,0.0298607014697612
2019-08,81,-0.04241192411924119,-0.03015103383862093,-0.03648965772912055,-0.05006124959981903,0.04205682347849171,14603|18726|77175|27828|86594|24441|14434|18973,87432|32870|78975|92322|15058|81481|77606|92203,E1,0.0018,-0.03195103383862093,0.0075,-0.03765103383862093
2019-09,81,0.13121047877145436,0.05499586133511223,0.0368174909862451,0.06162127546439528,0.002616330407219536,76839|25320|93002|32651|16968|32678|18267|79881,16649|14970|87432|21055|64785|15643|13323|10866,E1,0.0018,0.05319586133511223,0.0075,0.04749586133511223
2019-10,68,0.18761690269878226,0.12462748451975486,0.15071948998997792,-0.027150020160012674,0.04896565900616667,92203|14609|77462|14231|87430|79881|17949|27828,93002|17685|51369|18267|83976|13527|15535|18973,E1,0.0024,0.12222748451975486,0.01,0.11462748451975487
