month,n_names,ic_ew,ic_sw,dic
2019-01,2490,0.24385907934204865,0.2450068460527516,0.0011477667107029632
2019-02,2485,0.014194169280678674,0.015409408972480358,0.0012152396918016835
2019-03,2458,-0.10512475530849419,-0.1011028517129385,0.004021903595555695
2019-04,2492,-0.08511554820821238,-0.08161769970459225,0.0034978485036201296
2019-05,2475,-0.2240642522913682,-0.22038470094366439,0.0036795513477038133
2019-06,2470,-0.09583891763179782,-0.09552389570654002,0.0003150219252577996
2019-07,2463,-0.2630092802504247,-0.26525971552320904,-0.0022504352727843457
2019-08,2479,-0.19204292320755578,-0.1895005967017424,0.002542326505813375
2019-09,2496,0.008975176732962976,0.008096152873813923,-0.0008790238591490536
2019-10,2462,0.007331037810841598,0.007392113812363146,6.107600152154783e-05
2019-11,2447,-0.007368367298984523,-0.006171760469665042,0.0011966068293194805
2019-12,2500,0.14499610052257236,0.14609313518290168,0.0010970346603293157
2020-01,2504,-0.0020380406664309778,-0.0004958080071853934,0.0015422326592455845
2020-02,2494,-0.11103304427452618,-0.11109860683019376,-6.556255566758651e-05
2020-03,2484,-0.22986568760863876,-0.22943016159402893,0.00043552601460983276
2020-04,2559,0.4425448493442071,0.4399377059201897,-0.0026071434240174107
2020-05,2552,0.0647421567930769,0.05841250254529699,-0.006329654247779912
2020-06,2521,-0.03478204933441018,-0.038934425093779305,-0.004152375759369123
2020-07,2529,-0.11633110257506148,-0.11698360458616015,-0.0006525020110986768
2020-08,2542,-0.07221100441448723,-0.07134320299184262,0.0008678014226446151
2020-09,2564,-0.000947013725552181,-0.004337234964780373,-0.0033902212392281925
2020-10,2507,-0.12644078277263787,-0.12299272214713916,0.003448060625498711
2020-11,2514,0.17016586861554453,0.16886471251195742,-0.0013011561035871089
2020-12,2527,0.06119816792785722,0.05863525230912738,-0.002562915618729837
2021-01,2568,0.19566886845261136,0.19158163606189493,-0.004087232390716428
2021-02,2577,-0.0378110862034653,-0.03491386179384184,0.002897224409623464
2021-03,2582,-0.04639860673285632,-0.042304759139812374,0.004093847593043945
2021-04,2690,-0.22806736301597075,-0.2235667813313885,0.0045005816845822555
2021-05,2710,-0.07960340576270815,-0.08281947450956192,-0.0032160687468537758
2021-06,2710,0.15161737998671468,0.150778189878096,-0.000839190108618687
2021-07,2727,-0.2766378672357543,-0.27023675493717925,0.00640111229857504
2021-08,2728,0.04207956856203983,0.04208646139144347,6.892829403637446e-06
2021-09,2757,-0.10563271069929586,-0.10149144269710227,0.004141268002193596
2021-10,2727,-0.06383725027625028,-0.0638498227641202,-1.2572487869913496e-05
2021-11,2710,-0.4023168331443792,-0.3988761611110791,0.0034406720333001184
2021-12,2774,0.04034935347251616,0.04175410296290106,0.0014047494903848962
2022-01,2788,-0.44573054597504846,-0.4446170000575504,0.001113545917498071
2022-02,2810,-0.11999602542057122,-0.11974081634659384,0.000255209073977386
2022-03,2819,0.12549750209622837,0.12170631647976989,-0.003791185616458484
2022-04,2941,-0.43843057361865134,-0.4348399675883604,0.0035906060302909326
2022-05,2953,-0.24819412157586682,-0.2465028559057433,0.0016912656701235096
2022-06,2962,0.07713115641376078,0.07903802876340418,0.0019068723496434015
2022-07,2947,0.09587420581703864,0.09498345481039468,-0.0008907510066439583
2022-08,2942,-0.05996015324162347,-0.05975494267755413,0.00020521056406934413
2022-09,2946,-0.2851280025188738,-0.2820304524043525,0.0030975501145213413
2022-10,2888,-0.19145355712085554,-0.18986838947524196,0.0015851676456135888
2022-11,2852,-0.15951521866721138,-0.15772103913775923,0.0017941795294521556
2022-12,2862,-0.11665258056591787,-0.11538151793889583,0.0012710626270220488
2023-01,2872,0.3653214199892423,0.3655285511675659,0.00020713117832360517
2023-02,2832,-0.22039517779923254,-0.21794962527321585,0.002445552526016692
2023-03,2790,-0.2035305563913901,-0.20335876940264858,0.00017178698874151244
2023-04,2841,-0.08861305327696975,-0.08908912769902325,-0.00047607442205349626
2023-05,2828,0.10581253954533316,0.10717143910739108,0.0013588995620579108
2023-06,2740,-0.12785893741887625,-0.12803234011474757,-0.00017340269587132195
2023-07,2716,-0.024002339317190508,-0.02094395533509637,0.0030583839820941365
2023-08,2682,-0.15373235488083525,-0.15158536580120396,0.0021469890796312896
2023-09,2716,-0.29516253275042137,-0.29153804918996795,0.0036244835604534176
2023-10,2659,-0.15231695216337868,-0.14862586029643352,0.003691091866945162
2023-11,2617,-0.026953302917308162,-0.024326529861605953,0.002626773055702209
2023-12,2664,0.09824403398378152,0.09905051929542921,0.0008064853116476894
2024-01,2687,-0.10654758962078638,-0.10297273267138515,0.0035748569494012256
2024-02,2667,0.07006552857485003,0.06914909819698455,-0.0009164303778654848
2024-03,2609,-0.10666564997385695,-0.10066341690649966,0.006002233067357296
2024-04,2650,-0.10454126775026223,-0.10373980222118802,0.0008014655290742162
2024-05,2652,-0.13515103587046415,-0.1380679834230054,-0.002916947552541266
2024-06,2620,-0.14382461763340623,-0.14281585010223824,0.0010087675311679922
2024-07,2587,-0.06640265138244071,-0.06627817820218031,0.00012447318026040377
2024-08,2568,-0.138803966615906,-0.135491851099008,0.003312115516898001
2024-09,2581,-0.12641468444185328,-0.12467006325062746,0.0017446211912258147
2024-10,2528,0.02505476480152993,0.021290012457557125,-0.0037647523439728048
2024-11,2519,-0.17401189123035432,-0.17418954123328914,-0.00017765000293482047
